mk_id,topic,average,weighted_average
504,התיישבות,1.68,1.83
504,נישואים_אזרחיים,5.02,5.66
504,תחבורה_ציבורית_בשבת,4.36,3.18
2291,התיישבות,7.18,8.05
2291,נישואים_אזרחיים,1.58,1.02
2291,תחבורה_ציבורית_בשבת,1.78,1.61
2300,התיישבות,5.25,5.42
2300,נישואים_אזרחיים,1,1.0
12944,התיישבות,8.31,9.25
12944,תחבורה_ציבורית_בשבת,3,3.0
23565,התיישבות,2.75,2.61
23565,נישואים_אזרחיים,6.91,6.85
23565,תחבורה_ציבורית_בשבת,4.14,4.72
23594,התיישבות,3.5,2.6
23594,נישואים_אזרחיים,7.5,7.11
23594,תחבורה_ציבורית_בשבת,1,1.0
30055,התיישבות,7.25,6.74
30055,נישואים_אזרחיים,2.44,2.25
30055,תחבורה_ציבורית_בשבת,3.19,3.39
30066,התיישבות,1.77,1.93
30066,נישואים_אזרחיים,1.67,2.03
30066,תחבורה_ציבורית_בשבת,4,5.09
30708,התיישבות,5.8,5.92
30708,נישואים_אזרחיים,3,3.0
30708,תחבורה_ציבורית_בשבת,2.33,2.43
