Id,Date,Topic,Text,Rank,Reasoning
1448020,2015-12-16,תחבורה_ציבורית_בשבת,"אז למה צריך להשאיר אותה? למה שלא תוביל מהלך שמכניס אותה חזרה למשרד התחבורה, כמו יחידת סמך שעושים בתחומים אחרים?",5,
1440588,2015-11-17,תחבורה_ציבורית_בשבת,"חיים, תעשו את זה על-פי ההלכה, ניתן לכם גם.",3,
1465538,2016-02-24,תחבורה_ציבורית_בשבת,"ככל שתהיה הסתייגות בעניין השבת, אז אני מניח – הרב גפני. עשר דקות, גברתי, לרשותך. בבקשה.",5,
1480052,2016-06-15,תחבורה_ציבורית_בשבת,"אני אומר לשר ליצמן, ואני חושב לכולנו בדיון: האיסור לחלל שבת הוא איסור גם על יהודי שאינו שומר שבת בעצמו. זאת אומרת, אם וככל, ולהערכתי אני צודק – –",2,
1480062,2016-06-15,תחבורה_ציבורית_בשבת,"– – – בשבת – אני לא שואל אותך, אתה לא כתבת את זה – המשמעות היא שבשבת יש פציעות – – –",3,
1493583,2016-08-01,תחבורה_ציבורית_בשבת,שַׁבַּתְּךָ. שבת. עשה שבתך.,1,
1521520,2017-02-07,תחבורה_ציבורית_בשבת,"יכולים להגיד שמשטרה לא חייבת לתת את השירות הזה לרכבת. אם זה שירות שהוא לא הגיוני והוא לא – הרכבת עובדת בלי היגיון וסדר, והמשטרה לא צריכה לשתף עם זה פעולה.",1,
1542954,2017-06-28,תחבורה_ציבורית_בשבת,"ועל כך התשובה היא פשוטה מאוד: מכיוון שאנחנו מדינה דמוקרטית, ו-99.999999% – ואפשר עוד להמשיך הרבה – מאזרחי מדינת ישראל הם אורתודוקסים. אגב, גם החילונים הם לא רפורמים; הם לא דתיים, הם לא רפורמים. יש במדינת ישראל פחות מ-3,000 אזרחים שמגדירים את עצמם רפורמים. אז אני, בשביל 3,000 איש צריך לתת עכשיו כותל רפורמי? הייתי בסן פרנסיסקו במסגרת משלחת חשובה מאוד של חברי כנסת עם הסוכנות היהודית והפדרציות של צפון אמריקה, ונפגשנו עם הנהגות של קהילות – סן פרנסיסקו, באמת, הקהילה הפרוגרסיבית ביותר, אני חושב – ואמרתי להם: חברים, תעלו לארץ. אם יהיו כאן 3 מיליון רפורמים בארץ ישראל, סביר להניח שיהיה מה לדבר. אומרים, בצדק, שרוב יהדות ארצות הברית רפורמית. אז הם גם נוסעים בשבת. האם יעלה על הדעת שיהדות ארצות הברית תתיימר לקבוע אם כאן תהיה תחבורה ציבורית בשבת או לא, ואם אנחנו לא נסכים שתהיה תחבורה היא תגיד שזה קרע בינה לבין מדינת ישראל? אולי היא גם תרצה לקבוע כמה גופי כשרות צריכים להיות בארץ, והאם צריך להפריט את זה או לתת לרבנות הראשית?",1,
1452648,2016-01-04,תחבורה_ציבורית_בשבת,"איילת, למה יום שישי? אני לא מחלל שבת. מוצאי-שבת.",1,
1454134,2016-01-06,תחבורה_ציבורית_בשבת,"נעבור להצעה לסדר-היום בנושא: ישיש בעל מכולת בתל-אביב, שהפך לסמל מאבק השבת על רקע סוציאלי, הוכה על-ידי חילוני – הצעה לסדר-היום מס' 2278. עד עשר דקות לרשותך, אדוני. בבקשה.",3,
