id,first name,last name,knesset site id,image url
2312,חיים,הרצוג,391,https://fs.knesset.gov.il/globaldocs/MK/391/1_391_3_914.jpeg
2652,יצחק,שמיר,175,https://fs.knesset.gov.il/globaldocs/MK/175/1_175_3_440.jpeg
2595,יצחק,רבין,168,https://fs.knesset.gov.il/globaldocs/MK/168/1_168_3_426.jpeg
458,חיים,רמון,115,https://fs.knesset.gov.il/globaldocs/MK/115/1_115_3_317.jpeg
2524,עובדיה,עלי,161,https://fs.knesset.gov.il/globaldocs/MK/161/1_161_3_412.jpeg
471,עוזי,לנדאו,77,https://fs.knesset.gov.il/globaldocs/MK/77/1_77_3_213.jpeg
2316,אריאל,ויינשטיין,144,https://fs.knesset.gov.il/globaldocs/MK/144/1_144_3_380.jpeg
2642,דב,שילנסקי,173,https://fs.knesset.gov.il/globaldocs/MK/173/1_173_3_436.jpeg
2465,חגי,מירום,84,https://fs.knesset.gov.il/globaldocs/MK/84/1_84_3_233.jpeg
2286,עבד-אלוהב,דראושה,40,https://fs.knesset.gov.il/globaldocs/MK/40/1_40_3_106.jpeg
2672,דן,תיכון,128,https://fs.knesset.gov.il/globaldocs/MK/128/1_128_3_348.jpeg
2143,שולמית,אלוני,132,https://fs.knesset.gov.il/globaldocs/MK/132/1_132_3_356.jpeg
2574,אביגדור,קהלני,108,https://fs.knesset.gov.il/globaldocs/MK/108/1_108_3_301.jpeg
482,אריאל,שרון,125,https://fs.knesset.gov.il/globaldocs/MK/125/1_125_3_342.jpeg
507,רן,כהן,66,https://fs.knesset.gov.il/globaldocs/MK/66/1_66_3_183.jpeg
2633,משה,שחל,118,https://fs.knesset.gov.il/globaldocs/MK/118/1_118_3_323.jpeg
437,אלי,בן-מנחם,22,https://fs.knesset.gov.il/globaldocs/MK/22/1_22_3_64.jpeg
2562,וליד,צאדק חאג'-יחיא,106,https://fs.knesset.gov.il/globaldocs/MK/106/1_106_3_297.jpeg
2138,רפאל,איתן,10,https://fs.knesset.gov.il/globaldocs/MK/10/1_10_3_32.jpeg
536,דוד,לוי,72,https://fs.knesset.gov.il/globaldocs/MK/72/1_72_3_202.jpeg
862,משה,קצב,110,https://fs.knesset.gov.il/globaldocs/MK/110/1_110_3_305.jpeg
478,מאיר,שטרית,119,https://fs.knesset.gov.il/globaldocs/MK/119/1_119_3_326.jpeg
2300,זבולון,המר,44,https://fs.knesset.gov.il/globaldocs/MK/44/1_44_3_117.jpeg
2566,דוד,צוקר,107,https://fs.knesset.gov.il/globaldocs/MK/107/1_107_3_299.jpeg
1065,חיים,אורון,5,https://fs.knesset.gov.il/globaldocs/MK/5/1_5_3_15.jpeg
441,יעל,דיין,39,https://fs.knesset.gov.il/globaldocs/MK/39/1_39_3_104.jpeg
965,בנימין,נתניהו,90,https://fs.knesset.gov.il/globaldocs/MK/90/1_90_3_248.jpeg
434,אברהם,בורג,137,https://fs.knesset.gov.il/globaldocs/MK/137/1_137_3_366.jpeg
2559,יצחק-חיים,פרץ,163,https://fs.knesset.gov.il/globaldocs/MK/163/1_163_3_416.jpeg
2563,יאיר,צבן,165,https://fs.knesset.gov.il/globaldocs/MK/165/1_165_3_420.jpeg
557,עמיר,פרץ,105,https://fs.knesset.gov.il/globaldocs/MK/105/1_105_3_292.jpeg
2334,תופיק,זיאד,147,https://fs.knesset.gov.il/globaldocs/MK/147/1_147_3_386.jpeg
2238,מיכה,גולדמן,32,https://fs.knesset.gov.il/globaldocs/MK/32/1_32_3_85.jpeg
2482,רון,נחמן,157,https://fs.knesset.gov.il/globaldocs/MK/157/1_157_3_404.jpeg
417,רחבעם,זאבי,51,https://fs.knesset.gov.il/globaldocs/MK/51/1_51_3_141.jpeg
2291,אריה מכלוף,דרעי,41,https://fs.knesset.gov.il/globaldocs/MK/41/1_41_3_110.jpeg
454,אפרים,סנה,94,https://fs.knesset.gov.il/globaldocs/MK/94/1_94_3_265.jpeg
462,מיכאל,איתן,9,https://fs.knesset.gov.il/globaldocs/MK/9/1_9_3_30.jpeg
2178,זאב בנימין,בגין,14,https://fs.knesset.gov.il/globaldocs/MK/14/1_14_3_43.jpeg
472,יהושע,מצא,86,https://fs.knesset.gov.il/globaldocs/MK/86/1_86_3_237.jpeg
2432,דוד,ליבאי,75,https://fs.knesset.gov.il/globaldocs/MK/75/1_75_3_208.jpeg
2649,יעקב,שמאי,174,https://fs.knesset.gov.il/globaldocs/MK/174/1_174_3_438.jpeg
435,בנימין,בן-אליעזר,20,https://fs.knesset.gov.il/globaldocs/MK/20/1_20_3_59.jpeg
861,עוזי,ברעם,27,https://fs.knesset.gov.il/globaldocs/MK/27/1_27_3_74.jpeg
2357,מיכאל,חריש,149,https://fs.knesset.gov.il/globaldocs/MK/149/1_149_3_390.jpeg
2487,אורה,נמיר,158,https://fs.knesset.gov.il/globaldocs/MK/158/1_158_3_406.jpeg
456,שמעון,פרס,104,https://fs.knesset.gov.il/globaldocs/MK/104/1_104_3_288.jpeg
2568,יעקב,צור,587,https://fs.knesset.gov.il/globaldocs/MK/587/1_587_3_1304.jpeg
2583,ישראל,קיסר,167,https://fs.knesset.gov.il/globaldocs/MK/167/1_167_3_424.jpeg
510,אמנון,רובינשטיין,113,https://fs.knesset.gov.il/globaldocs/MK/113/1_113_3_311.jpeg
459,אברהם-בייגה,שוחט,117,https://fs.knesset.gov.il/globaldocs/MK/117/1_117_3_321.jpeg
2634,שמעון,שטרית,172,https://fs.knesset.gov.il/globaldocs/MK/172/1_172_3_434.jpeg
2577,חיים,קופמן,166,https://fs.knesset.gov.il/globaldocs/MK/166/1_166_3_422.jpeg
522,יגאל,ביבי,17,https://fs.knesset.gov.il/globaldocs/MK/17/1_17_3_52.jpeg
765,יצחק,לוי,73,https://fs.knesset.gov.il/globaldocs/MK/73/1_73_3_204.jpeg
567,אליעזר,זנדברג,54,https://fs.knesset.gov.il/globaldocs/MK/54/1_54_3_147.jpeg
551,האשם,מחאמיד,83,https://fs.knesset.gov.il/globaldocs/MK/83/1_83_3_231.jpeg
524,שאול,יהלום,61,https://fs.knesset.gov.il/globaldocs/MK/61/1_61_3_161.jpeg
467,צחי,הנגבי,45,https://fs.knesset.gov.il/globaldocs/MK/45/1_45_3_121.jpeg
1064,אהוד,אולמרט,3,https://fs.knesset.gov.il/globaldocs/MK/3/1_3_3_11.jpeg
531,אברהם,רביץ,112,https://fs.knesset.gov.il/globaldocs/MK/112/1_112_3_309.jpeg
2445,יורם,לס,153,https://fs.knesset.gov.il/globaldocs/MK/153/1_153_3_396.jpeg
2538,משה,פלד,101,https://fs.knesset.gov.il/globaldocs/MK/101/1_101_3_280.jpeg
2623,גדעון,שגיא,171,https://fs.knesset.gov.il/globaldocs/MK/171/1_171_3_432.jpeg
2246,אפרים,גור,141,https://fs.knesset.gov.il/globaldocs/MK/141/1_141_3_374.jpeg
2467,דוד,מנע,156,https://fs.knesset.gov.il/globaldocs/MK/156/1_156_3_402.jpeg
860,אלי,גולדשמידט,33,https://fs.knesset.gov.il/globaldocs/MK/33/1_33_3_87.jpeg
444,אברהם,יחזקאל,62,https://fs.knesset.gov.il/globaldocs/MK/62/1_62_3_163.jpeg
541,תמר,גוז'נסקי,31,https://fs.knesset.gov.il/globaldocs/MK/31/1_31_3_83.jpeg
2532,חנן,פורת,99,https://fs.knesset.gov.il/globaldocs/MK/99/1_99_3_276.jpeg
2447,משה,מאיה,154,https://fs.knesset.gov.il/globaldocs/MK/154/1_154_3_398.jpeg
446,רענן,כהן,67,https://fs.knesset.gov.il/globaldocs/MK/67/1_67_3_185.jpeg
453,נואף,מסאלחה,85,https://fs.knesset.gov.il/globaldocs/MK/85/1_85_3_235.jpeg
470,לימור,לבנת,70,https://fs.knesset.gov.il/globaldocs/MK/70/1_70_3_197.jpeg
2339,עמנואל,זיסמן,53,https://fs.knesset.gov.il/globaldocs/MK/53/1_53_3_145.jpeg
466,אברהם,הירשזון,42,https://fs.knesset.gov.il/globaldocs/MK/42/1_42_3_113.jpeg
519,אברהם,פורז,98,https://fs.knesset.gov.il/globaldocs/MK/98/1_98_3_274.jpeg
2622,גונן,שגב,170,https://fs.knesset.gov.il/globaldocs/MK/170/1_170_3_430.jpeg
2276,חיים,דיין,38,https://fs.knesset.gov.il/globaldocs/MK/38/1_38_3_102.jpeg
2183,פיני,בדש,15,https://fs.knesset.gov.il/globaldocs/MK/15/1_15_3_48.jpeg
484,שלמה,בניזרי,25,https://fs.knesset.gov.il/globaldocs/MK/25/1_25_3_70.jpeg
479,סילבן,שלום,122,https://fs.knesset.gov.il/globaldocs/MK/122/1_122_3_334.jpeg
2526,שאול,עמור,97,https://fs.knesset.gov.il/globaldocs/MK/97/1_97_3_272.jpeg
2186,שלמה,בוחבוט,136,https://fs.knesset.gov.il/globaldocs/MK/136/1_136_3_364.jpeg
2275,אלי,דיין,143,https://fs.knesset.gov.il/globaldocs/MK/143/1_143_3_378.jpeg
442,סאלח,טריף,59,https://fs.knesset.gov.il/globaldocs/MK/59/1_59_3_157.jpeg
2157,אסעד,אסעד,133,https://fs.knesset.gov.il/globaldocs/MK/133/1_133_3_358.jpeg
527,שמואל,הלפרט,43,https://fs.knesset.gov.il/globaldocs/MK/43/1_43_3_115.jpeg
2125,אהוד,אבריאל,239,https://fs.knesset.gov.il/globaldocs/MK/239/1_239_3_612.jpeg
549,טלב,אלסאנע,13,https://fs.knesset.gov.il/globaldocs/MK/13/1_13_3_39.jpeg
2331,נסים,זוילי,52,https://fs.knesset.gov.il/globaldocs/MK/52/1_52_3_143.jpeg
2236,שאול,גוטמן,138,https://fs.knesset.gov.il/globaldocs/MK/138/1_138_3_368.jpeg
2247,מרדכי,גור,140,https://fs.knesset.gov.il/globaldocs/MK/140/1_140_3_372.jpeg
2560,גדעון,פת,164,https://fs.knesset.gov.il/globaldocs/MK/164/1_164_3_418.jpeg
433,דליה,איציק,8,https://fs.knesset.gov.il/globaldocs/MK/8/1_8_3_27.jpeg
2366,בנימין,טמקין,150,https://fs.knesset.gov.il/globaldocs/MK/150/1_150_3_392.jpeg
2489,משה,נסים,159,https://fs.knesset.gov.il/globaldocs/MK/159/1_159_3_408.jpeg
506,נעמי,חזן,56,https://fs.knesset.gov.il/globaldocs/MK/56/1_56_3_151.jpeg
2522,יוסף,עזרן,162,https://fs.knesset.gov.il/globaldocs/MK/162/1_162_3_414.jpeg
2239,אלכס,גולדפרב,139,https://fs.knesset.gov.il/globaldocs/MK/139/1_139_3_370.jpeg
2141,רפאל,אלול,11,https://fs.knesset.gov.il/globaldocs/MK/11/1_11_3_34.jpeg
2620,אבנר-חי,שאקי,116,https://fs.knesset.gov.il/globaldocs/MK/116/1_116_3_319.jpeg
2507,אסתר,סלמוביץ,160,https://fs.knesset.gov.il/globaldocs/MK/160/1_160_3_410.jpeg
545,רוני,מילוא,155,https://fs.knesset.gov.il/globaldocs/MK/155/1_155_3_400.jpeg
447,יוסי,כץ,68,https://fs.knesset.gov.il/globaldocs/MK/68/1_68_3_187.jpeg
465,נעמי,בלומנטל,19,https://fs.knesset.gov.il/globaldocs/MK/19/1_19_3_56.jpeg
2254,גדליה,גל,142,https://fs.knesset.gov.il/globaldocs/MK/142/1_142_3_376.jpeg
2421,מאשה,לובלסקי,152,https://fs.knesset.gov.il/globaldocs/MK/152/1_152_3_394.jpeg
584,שמואל,אביטל,130,https://fs.knesset.gov.il/globaldocs/MK/130/1_130_3_352.jpeg
2175,יוסף,בא-גד,135,https://fs.knesset.gov.il/globaldocs/MK/135/1_135_3_362.jpeg
2545,רפאל,פנחסי,102,https://fs.knesset.gov.il/globaldocs/MK/102/1_102_3_282.jpeg
509,ענת,מאור,80,https://fs.knesset.gov.il/globaldocs/MK/80/1_80_3_225.jpeg
2196,אליהו,בן-אלישר,21,https://fs.knesset.gov.il/globaldocs/MK/21/1_21_3_62.jpeg
512,יוסי,שריד,126,https://fs.knesset.gov.il/globaldocs/MK/126/1_126_3_344.jpeg
2132,אורי,אור,4,https://fs.knesset.gov.il/globaldocs/MK/4/1_4_3_13.jpeg
486,אריה,גמליאל,34,https://fs.knesset.gov.il/globaldocs/MK/34/1_34_3_89.jpeg
2660,אברהם,שפירא,177,https://fs.knesset.gov.il/globaldocs/MK/177/1_177_3_444.jpeg
2549,מנחם,פרוש,686,https://fs.knesset.gov.il/globaldocs/MK/686/1_686_3_1498.jpeg
2658,יעקב,שפי,176,https://fs.knesset.gov.il/globaldocs/MK/176/1_176_3_442.jpeg
546,דן,מרידור,88,https://fs.knesset.gov.il/globaldocs/MK/88/1_88_3_242.jpeg
544,דוד,מגן,82,https://fs.knesset.gov.il/globaldocs/MK/82/1_82_3_229.jpeg
2192,יוסי,ביילין,18,https://fs.knesset.gov.il/globaldocs/MK/18/1_18_3_54.jpeg
460,ויצמן,שירי,205,https://fs.knesset.gov.il/globaldocs/MK/205/1_205_3_510.jpeg
526,משה,גפני,35,https://fs.knesset.gov.il/globaldocs/MK/35/1_35_3_93.jpeg
2505,סאלח,סלים,93,https://fs.knesset.gov.il/globaldocs/MK/93/1_93_3_263.jpeg
2413,אברהם,כץ-עוז,465,https://fs.knesset.gov.il/globaldocs/MK/465/1_465_3_1062.jpeg
2346,חנא,חדאד,148,https://fs.knesset.gov.il/globaldocs/MK/148/1_148_3_388.jpeg
2226,אהוד,ברק,28,https://fs.knesset.gov.il/globaldocs/MK/28/1_28_3_77.jpeg
2135,יוסף,אחימאיר,131,https://fs.knesset.gov.il/globaldocs/MK/131/1_131_3_354.jpeg
2164,נאוה,ארד,134,https://fs.knesset.gov.il/globaldocs/MK/134/1_134_3_360.jpeg
1029,מיכאל,רצון,169,https://fs.knesset.gov.il/globaldocs/MK/169/1_169_3_428.jpeg
430,יורי,שטרן,121,https://fs.knesset.gov.il/globaldocs/MK/121/1_121_3_331.jpeg
